timestamp,open,high,low,close,volume
2025-07-06 08:00:00,107991.4,108087.2,107743.4,108017.3,7597.263
2025-07-06 12:00:00,108017.3,109079.1,107984.7,108856.8,25569.419
2025-07-06 16:00:00,108856.8,108917.0,108209.6,108493.8,10930.018
2025-07-06 20:00:00,108493.8,109684.7,108477.9,109145.8,19995.454
2025-07-07 00:00:00,109145.8,109667.3,108622.6,109348.9,15642.606
2025-07-07 04:00:00,109349.0,109409.7,108611.0,109016.3,11504.51
2025-07-07 08:00:00,109016.3,109041.2,108525.0,108599.9,12004.305
2025-07-07 12:00:00,108599.8,108612.2,107903.2,108249.0,30362.595
2025-07-07 16:00:00,108248.9,108460.8,107456.0,107999.9,28556.766
2025-07-07 20:00:00,107999.9,108250.1,107728.5,108203.9,8326.796
2025-07-08 00:00:00,108203.9,108475.0,107400.0,107852.6,17984.307
2025-07-08 04:00:00,107852.5,108445.8,107696.5,108440.7,10189.634
2025-07-08 08:00:00,108440.7,108964.1,108172.4,108713.1,15943.556
2025-07-08 12:00:00,108713.2,109180.0,108151.0,108217.0,24144.169
2025-07-08 16:00:00,108217.0,109115.4,108041.0,108723.6,20875.072
2025-07-08 20:00:00,108723.6,108928.0,108570.1,108873.1,6019.289
2025-07-09 00:00:00,108873.2,109107.4,108284.2,108311.9,11601.542
2025-07-09 04:00:00,108311.9,108900.0,108273.5,108674.8,9998.912
2025-07-09 08:00:00,108674.7,109074.0,108510.0,109008.3,9544.375
2025-07-09 12:00:00,109008.3,109738.5,108429.0,109020.0,44231.698
2025-07-09 16:00:00,109019.9,112036.8,108975.9,111718.8,55843.017
2025-07-09 20:00:00,111718.8,111931.5,110508.0,111199.9,36615.187
2025-07-10 00:00:00,111199.8,111548.3,110834.6,111028.2,13062.149
2025-07-10 04:00:00,111028.3,111399.7,110894.2,111186.1,10503.767
2025-07-10 08:00:00,111186.2,111370.3,110800.0,110972.2,12366.984
2025-07-10 12:00:00,110972.1,111363.5,110432.2,111350.0,29486.905
2025-07-10 16:00:00,111350.0,113760.0,111267.7,113246.1,78710.069
2025-07-10 20:00:00,113246.1,117500.0,113208.4,115979.2,81440.339
2025-07-11 00:00:00,115979.2,116945.8,115186.7,116839.5,29918.24
2025-07-11 04:00:00,116839.5,118395.9,116429.2,117522.7,57156.787
2025-07-11 08:00:00,117522.7,118882.8,117522.7,117790.1,30866.366
2025-07-11 12:00:00,117790.0,118226.0,116725.1,116910.3,41834.893
2025-07-11 16:00:00,116910.3,118128.0,116611.1,118072.7,25630.995
2025-07-11 20:00:00,118072.7,118072.7,117130.0,117500.0,14412.076
2025-07-12 00:00:00,117500.0,117818.6,117055.0,117730.0,8464.791
2025-07-12 04:00:00,117730.0,118036.7,117454.9,117689.7,9786.843
2025-07-12 08:00:00,117689.6,118176.9,117579.8,117773.6,10654.146
2025-07-12 12:00:00,117773.5,117819.8,116862.4,117075.6,20538.261
2025-07-12 16:00:00,117075.6,117609.4,117012.0,117525.7,8165.529
2025-07-12 20:00:00,117525.7,117527.8,116960.0,117389.3,6112.902
2025-07-13 00:00:00,117389.4,117794.7,117164.3,117711.5,7178.918
2025-07-13 04:00:00,117711.6,118040.8,117639.7,117950.0,7310.041
2025-07-13 08:00:00,117950.0,118058.3,117641.3,118036.1,6329.781
2025-07-13 12:00:00,118036.0,119655.0,117933.4,118610.6,39022.92
